"Weight_ID","Company","Symbol","Weight","Price","Change"
"1","Microsoft Corporation","MSFT","3.707367","    112 75","-0.08  (-0.07%)"
"2","Apple Inc.","AAPL","3.386201","    179 19","0.29  (0.16%)"
"3","Amazon.com Inc.","AMZN","2.890014","    1 668 21","-2.41  (-0.14%)"
"4","Facebook Inc. Class A","FB","1.769200","    171 84","-0.23  (-0.13%)"
"5","Berkshire Hathaway Inc. Class B","BRK.B","1.678367","    202 93","0.84  (0.42%)"
"6","Johnson & Johnson","JNJ","1.607629","    138 24","-0.32  (-0.23%)"
"7","Alphabet Inc. Class C","GOOG","1.525763","    1 172 00","-3.76  (-0.32%)"
"8","Alphabet Inc. Class A","GOOGL","1.492621","    1 177 76","-1.50  (-0.13%)"
"9","JPMorgan Chase & Co.","JPM","1.487724","    104 37","0.02  (0.02%)"
"10","Exxon Mobil Corporation","XOM","1.452351","    80 09","0.31  (0.39%)"
"11","Bank of America Corp","BAC","1.135945","    28 95","0.01  (0.03%)"
"12","Visa Inc. Class A","V","1.124536","    150 43","-0.24  (-0.16%)"
"13","Procter & Gamble Company","PG","1.064440","    99 40","-0.18  (-0.18%)"
"14","Intel Corporation","INTC","1.040252","    53 33","-0.02  (-0.04%)"
"15","Pfizer Inc.","PFE","1.026663","    41 66","0.16  (0.39%)"
"16","Verizon Communications Inc.","VZ","1.014129","    57 77","0.19  (0.33%)"
"17","Chevron Corporation","CVX","1.009024","    124 35","0.73  (0.59%)"
"18","Cisco Systems Inc.","CSCO","0.997400","    51 90","-0.02  (-0.04%)"
"19","UnitedHealth Group Incorporated","UNH","0.991103","    243 01","-0.14  (-0.06%)"
"20","Boeing Company","BA","0.969223","    391 50","-8.51  (-2.13%)"
"21","AT&T Inc.","T","0.946617","    30 28","0.06  (0.20%)"
"22","Wells Fargo & Company","WFC","0.916651","    49 77","0.01  (0.02%)"
"23","Merck & Co. Inc.","MRK","0.901585","    81 00","0.13  (0.16%)"
"24","Home Depot Inc.","HD","0.889119","    182 75","0.31  (0.17%)"
"25","Mastercard Incorporated Class A","MA","0.872371","    225 99","0.35  (0.16%)"
"26","Comcast Corporation Class A","CMCSA","0.753562","    39 45","0.28  (0.71%)"
"27","Coca-Cola Company","KO","0.745770","    45 91","-0.27  (-0.58%)"
"28","Walt Disney Company","DIS","0.735559","    114 77","0.02  (0.02%)"
"29","PepsiCo Inc.","PEP","0.706224","    116 99","0.40  (0.34%)"
"30","Netflix Inc.","NFLX","0.661860","    358 45","-0.41  (-0.11%)"
"31","Citigroup Inc.","C","0.658643","    62 31","0.00  (0.00%)"
"32","Walmart Inc.","WMT","0.604882","    98 60","0.12  (0.12%)"
"33","McDonald's Corporation","MCD","0.601352","    181 15","0.07  (0.04%)"
"34","Philip Morris International Inc.","PM","0.590220","    89 14","-0.10  (-0.11%)"
"35","Abbott Laboratories","ABT","0.584305","    77 88","0.07  (0.09%)"
"36","Oracle Corporation","ORCL","0.582990","    52 27","-0.39  (-0.74%)"
"37","DowDuPont Inc.","DWDP","0.544833","    55 88","0.30  (0.54%)"
"38","Adobe Inc.","ADBE","0.538518","    261 03","0.07  (0.03%)"
"39","International Business Machines Corporation","IBM","0.532390","    138 39","0.68  (0.49%)"
"40","Medtronic plc","MDT","0.527881","    92 13","0.13  (0.14%)"
"41","Union Pacific Corporation","UNP","0.524537","    165 60","0.00  (0.00%)"
"42","Eli Lilly and Company","LLY","0.518865","    123 50","0.00  (0.00%)"
"43","salesforce.com inc.","CRM","0.514846","    157 20","-0.45  (-0.29%)"
"44","3M Company","MMM","0.508323","    207 56","0.46  (0.22%)"
"45","AbbVie Inc.","ABBV","0.507320","    78 30","0.22  (0.28%)"
"46","Amgen Inc.","AMGN","0.500633","    184 00","-0.14  (-0.08%)"
"47","PayPal Holdings Inc","PYPL","0.489067","    97 45","0.00  (0.00%)"
"48","Honeywell International Inc.","HON","0.486019","    153 19","0.00  (0.00%)"
"49","Broadcom Inc.","AVGO","0.474855","    270 00","0.94  (0.35%)"
"50","NIKE Inc. Class B","NKE","0.468367","    85 95","0.13  (0.15%)"
"51","Altria Group Inc","MO","0.450130","    56 00","-0.01  (-0.02%)"
"52","Accenture Plc Class A","ACN","0.447328","    164 08","0.14  (0.09%)"
"53","Texas Instruments Incorporated","TXN","0.437469","    105 27","-1.18  (-1.11%)"
"54","United Technologies Corporation","UTX","0.436955","    126 35","0.34  (0.27%)"
"55","Thermo Fisher Scientific Inc.","TMO","0.436719","    254 32","0.00  (0.00%)"
"56","Costco Wholesale Corporation","COST","0.433473","    230 10","0.41  (0.18%)"
"57","Linde plc","LIN","0.405434","    170 58","-0.70  (-0.41%)"
"58","NVIDIA Corporation","NVDA","0.398916","    161 70","0.56  (0.35%)"
"59","NextEra Energy Inc.","NEE","0.391405","    189 40","-0.10  (-0.05%)"
"60","Starbucks Corporation","SBUX","0.373592","    69 88","0.20  (0.29%)"
"61","Bristol-Myers Squibb Company","BMY","0.364178","    50 90","0.00  (0.00%)"
"62","General Electric Company","GE","0.361768","    9 90","0.00  (0.00%)"
"63","Gilead Sciences Inc.","GILD","0.353866","    64 44","0.10  (0.16%)"
"64","Lowe's Companies Inc.","LOW","0.348070","    100 40","0.00  (0.00%)"
"65","American Tower Corporation","AMT","0.347292","    185 16","0.00  (0.00%)"
"66","Booking Holdings Inc.","BKNG","0.345089","    1 710 00","0.10  (0.01%)"
"67","Caterpillar Inc.","CAT","0.336768","    133 80","0.69  (0.52%)"
"68","U.S. Bancorp","USB","0.336502","    51 86","0.40  (0.78%)"
"69","Danaher Corporation","DHR","0.334841","    126 33","0.00  (0.00%)"
"70","Anthem Inc.","ANTM","0.331335","    296 00","0.03  (0.01%)"
"71","American Express Company","AXP","0.329388","    109 60","0.04  (0.04%)"
"72","ConocoPhillips","COP","0.328420","    65 97","0.10  (0.15%)"
"73","United Parcel Service Inc. Class B","UPS","0.321973","    109 30","0.47  (0.43%)"
"74","Lockheed Martin Corporation","LMT","0.321860","    304 50","0.10  (0.03%)"
"75","CVS Health Corporation","CVS","0.296684","    53 92","0.17  (0.32%)"
"76","Mondelez International Inc. Class A","MDLZ","0.295281","    47 12","0.00  (0.00%)"
"77","Goldman Sachs Group Inc.","GS","0.293369","    195 70","-0.27  (-0.14%)"
"78","Becton Dickinson and Company","BDX","0.287363","    249 94","0.00  (0.00%)"
"79","Automatic Data Processing Inc.","ADP","0.282371","    151 41","0.32  (0.21%)"
"80","QUALCOMM Incorporated","QCOM","0.281717","    54 35","0.00  (0.00%)"
"81","Duke Energy Corporation","DUK","0.279174","    90 36","0.00  (0.00%)"
"82","Intuit Inc.","INTU","0.277056","    251 07","0.53  (0.21%)"
"83","TJX Companies Inc","TJX","0.274545","    51 70","0.00  (0.00%)"
"84","Biogen Inc.","BIIB","0.269314","    312 24","0.78  (0.25%)"
"85","CME Group Inc. Class A","CME","0.266375","    170 00","-0.82  (-0.48%)"
"86","Chubb Limited","CB","0.264857","    133 41","0.00  (0.00%)"
"87","Intuitive Surgical Inc.","ISRG","0.264544","    542 75","-0.20  (-0.04%)"
"88","Cigna Corporation","CI","0.264502","    163 75","0.12  (0.07%)"
"89","Charter Communications Inc. Class A","CHTR","0.260290","    341 08","0.00  (0.00%)"
"90","Celgene Corporation","CELG","0.256613","    85 05","-0.21  (-0.25%)"
"91","PNC Financial Services Group Inc.","PNC","0.254117","    128 56","0.00  (0.00%)"
"92","Stryker Corporation","SYK","0.250882","    189 22","0.00  (0.00%)"
"93","CSX Corporation","CSX","0.250104","    72 90","-0.05  (-0.07%)"
"94","Dominion Energy Inc","D","0.246974","    76 29","-0.03  (-0.04%)"
"95","Schlumberger NV","SLB","0.246778","    42 15","0.07  (0.17%)"
"96","Colgate-Palmolive Company","CL","0.244520","    65 97","0.12  (0.18%)"
"97","Boston Scientific Corporation","BSX","0.235944","    39 90","0.00  (0.00%)"
"98","Morgan Stanley","MS","0.234859","    41 87","0.02  (0.05%)"
"99","Simon Property Group Inc.","SPG","0.232593","    175 88","0.00  (0.00%)"
"100","Twenty-First Century Fox Inc. Class A","FOXA","0.231497","    50 53","0.00  (0.00%)"
"101","Southern Company","SO","0.227269","    51 35","-0.05  (-0.10%)"
"102","Charles Schwab Corporation","SCHW","0.225618","    44 80","1.01  (2.31%)"
"103","BlackRock Inc.","BLK","0.223273","    428 00","-0.10  (-0.02%)"
"104","Raytheon Company","RTN","0.222340","    182 14","0.00  (0.00%)"
"105","Deere & Company","DE","0.220552","    160 51","0.09  (0.06%)"
"106","Crown Castle International Corp","CCI","0.216606","    124 00","0.46  (0.37%)"
"107","EOG Resources Inc.","EOG","0.216192","    86 26","0.00  (0.00%)"
"108","General Motors Company","GM","0.215309","    38 78","0.16  (0.41%)"
"109","S&P Global Inc.","SPGI","0.213059","    197 00","-0.24  (-0.12%)"
"110","Walgreens Boots Alliance Inc","WBA","0.209395","    60 60","-0.08  (-0.13%)"
"111","Norfolk Southern Corporation","NSC","0.209173","    180 84","0.00  (0.00%)"
"112","Northrop Grumman Corporation","NOC","0.207466","    281 00","1.78  (0.64%)"
"113","Occidental Petroleum Corporation","OXY","0.207190","    64 00","0.12  (0.19%)"
"114","Bank of New York Mellon Corporation","BK","0.204493","    51 84","0.01  (0.02%)"
"115","Exelon Corporation","EXC","0.203365","    49 10","0.02  (0.04%)"
"116","Allergan plc","AGN","0.199886","    146 64","0.00  (0.00%)"
"117","General Dynamics Corporation","GD","0.199875","    169 97","0.46  (0.27%)"
"118","Vertex Pharmaceuticals Incorporated","VRTX","0.195604","    180 52","0.00  (0.00%)"
"119","Marsh & McLennan Companies Inc.","MMC","0.194910","    90 78","0.00  (0.00%)"
"120","Zoetis Inc. Class A","ZTS","0.191864","    94 73","0.00  (0.00%)"
"121","Prologis Inc.","PLD","0.190049","    70 99","0.00  (0.00%)"
"122","MetLife Inc.","MET","0.189782","    44 57","0.00  (0.00%)"
"123","Micron Technology Inc.","MU","0.188165","    39 00","-0.03  (-0.08%)"
"124","Illinois Tool Works Inc.","ITW","0.187563","    143 63","0.00  (0.00%)"
"125","Illumina Inc.","ILMN","0.186927","    300 18","0.00  (0.00%)"
"126","Ecolab Inc.","ECL","0.186121","    170 21","0.00  (0.00%)"
"127","Progressive Corporation","PGR","0.181900","    73 10","0.25  (0.34%)"
"128","Emerson Electric Co.","EMR","0.180253","    67 44","0.00  (0.00%)"
"129","FedEx Corporation","FDX","0.180102","    176 00","-0.45  (-0.26%)"
"130","Intercontinental Exchange Inc.","ICE","0.179595","    72 55","0.00  (0.00%)"
"131","Cognizant Technology Solutions Corporation Class A","CTSH","0.177870","    72 35","0.00  (0.00%)"
"132","American Electric Power Company Inc.","AEP","0.174355","    83 20","0.60  (0.73%)"
"133","Phillips 66","PSX","0.174053","    96 67","0.00  (0.00%)"
"134","Kimberly-Clark Corporation","KMB","0.173593","    117 70","0.11  (0.09%)"
"135","Marathon Petroleum Corporation","MPC","0.172310","    59 33","0.13  (0.22%)"
"136","Target Corporation","TGT","0.171998","    76 35","0.08  (0.10%)"
"137","Air Products and Chemicals Inc.","APD","0.171698","    183 95","0.00  (0.00%)"
"138","Aon plc","AON","0.169617","    164 71","0.00  (0.00%)"
"139","Analog Devices Inc.","ADI","0.169161","    107 68","0.00  (0.00%)"
"140","Prudential Financial Inc.","PRU","0.168432","    94 56","0.00  (0.00%)"
"141","Capital One Financial Corporation","COF","0.168211","    82 85","0.00  (0.00%)"
"142","Waste Management Inc.","WM","0.168193","    99 91","0.06  (0.06%)"
"143","BB&T Corporation","BBT","0.165527","    49 92","0.00  (0.00%)"
"144","Kinder Morgan Inc Class P","KMI","0.161632","    19 99","0.09  (0.45%)"
"145","American International Group Inc.","AIG","0.161565","    42 82","0.00  (0.00%)"
"146","Aflac Incorporated","AFL","0.160830","    49 07","0.00  (0.00%)"
"147","Applied Materials Inc.","AMAT","0.160160","    38 52","0.01  (0.03%)"
"148","Humana Inc.","HUM","0.159583","    273 10","0.00  (0.00%)"
"149","Baxter International Inc.","BAX","0.159025","    75 12","0.00  (0.00%)"
"150","Edwards Lifesciences Corporation","EW","0.153269","    173 55","-0.01  (-0.01%)"
"151","Travelers Companies Inc.","TRV","0.151214","    131 87","0.00  (0.00%)"
"152","Estee Lauder Companies Inc. Class A","EL","0.151150","    157 51","0.00  (0.00%)"
"153","Marriott International Inc. Class A","MAR","0.150250","    120 25","0.00  (0.00%)"
"154","Equinix Inc.","EQIX","0.150103","    442 00","3.67  (0.84%)"
"155","Fidelity National Information Services Inc.","FIS","0.149922","    107 04","0.00  (0.00%)"
"156","Sherwin-Williams Company","SHW","0.149180","    427 99","0.00  (0.00%)"
"157","Eaton Corp. Plc","ETN","0.148308","    81 25","0.94  (1.17%)"
"158","Fiserv Inc.","FISV","0.148219","    86 03","0.00  (0.00%)"
"159","Valero Energy Corporation","VLO","0.147031","    83 50","0.02  (0.02%)"
"160","HCA Healthcare Inc","HCA","0.145406","    125 89","0.00  (0.00%)"
"161","Ross Stores Inc.","ROST","0.144899","    90 74","0.00  (0.00%)"
"162","Sempra Energy","SRE","0.144441","    123 19","0.00  (0.00%)"
"163","Autodesk Inc.","ADSK","0.143347","    154 04","0.00  (0.00%)"
"164","Johnson Controls International plc","JCI","0.143253","    36 14","0.00  (0.00%)"
"165","Ford Motor Company","F","0.142307","    8 61","0.00  (0.00%)"
"166","Roper Technologies Inc.","ROP","0.141771","    323 15","0.00  (0.00%)"
"167","eBay Inc.","EBAY","0.141149","    36 30","0.05  (0.14%)"
"168","Williams Companies Inc.","WMB","0.140658","    27 20","-0.16  (-0.58%)"
"169","Allstate Corporation","ALL","0.139215","    94 11","0.00  (0.00%)"
"170","Public Storage","PSA","0.138653","    220 50","3.66  (1.69%)"
"171","Activision Blizzard Inc.","ATVI","0.138370","    43 00","0.08  (0.19%)"
"172","Red Hat Inc.","RHT","0.138248","    181 79","0.00  (0.00%)"
"173","Dollar General Corporation","DG","0.136284","    120 00","0.29  (0.24%)"
"174","Sysco Corporation","SYY","0.135820","    66 46","0.00  (0.00%)"
"175","Delta Air Lines Inc.","DAL","0.134757","    51 27","0.15  (0.29%)"
"176","Regeneron Pharmaceuticals Inc.","REGN","0.134682","    416 00","3.95  (0.96%)"
"177","Yum! Brands Inc.","YUM","0.132305","    97 79","0.00  (0.00%)"
"178","Electronic Arts Inc.","EA","0.129713","    99 00","-0.04  (-0.04%)"
"179","Xilinx Inc.","XLNX","0.129241","    122 45","0.51  (0.42%)"
"180","Public Service Enterprise Group Inc","PEG","0.128430","    58 67","0.00  (0.00%)"
"181","HP Inc.","HPQ","0.128010","    18 90","0.02  (0.11%)"
"182","O'Reilly Automotive Inc.","ORLY","0.126439","    366 34","0.00  (0.00%)"
"183","SunTrust Banks Inc.","STI","0.126227","    63 85","0.00  (0.00%)"
"184","Xcel Energy Inc.","XEL","0.124214","    56 05","0.00  (0.00%)"
"185","Alexion Pharmaceuticals Inc.","ALXN","0.123801","    133 00","0.96  (0.73%)"
"186","Moody's Corporation","MCO","0.122498","    171 54","0.00  (0.00%)"
"187","Welltower Inc.","WELL","0.122239","    76 60","0.13  (0.17%)"
"188","TE Connectivity Ltd.","TEL","0.122066","    82 86","0.00  (0.00%)"
"189","LyondellBasell Industries NV","LYB","0.120303","    89 00","0.30  (0.34%)"
"190","Amphenol Corporation Class A","APH","0.120113","    93 97","0.00  (0.00%)"
"191","Constellation Brands Inc. Class A","STZ","0.119953","    168 54","0.21  (0.12%)"
"192","General Mills Inc.","GIS","0.119773","    46 40","-0.51  (-1.09%)"
"193","V.F. Corporation","VFC","0.118435","    85 12","0.00  (0.00%)"
"194","Corning Inc","GLW","0.118303","    34 20","0.00  (0.00%)"
"195","AvalonBay Communities Inc.","AVB","0.117214","    197 44","0.00  (0.00%)"
"196","Equity Residential","EQR","0.117060","    74 44","0.00  (0.00%)"
"197","ONEOK Inc.","OKE","0.116422","    66 29","0.00  (0.00%)"
"198","Southwest Airlines Co.","LUV","0.115397","    51 50","-0.11  (-0.21%)"
"199","Lam Research Corporation","LRCX","0.114979","    172 50","0.49  (0.28%)"
"200","PPG Industries Inc.","PPG","0.114619","    111 30","0.00  (0.00%)"
"201","Consolidated Edison Inc.","ED","0.112547","    84 27","0.00  (0.00%)"
"202","State Street Corporation","STT","0.111615","    68 69","0.00  (0.00%)"
"203","Ingersoll-Rand Plc","IR","0.110458","    105 37","0.00  (0.00%)"
"204","Agilent Technologies Inc.","A","0.106887","    79 30","0.00  (0.00%)"
"205","Zimmer Biomet Holdings Inc.","ZBH","0.106803","    121 41","0.00  (0.00%)"
"206","Hilton Worldwide Holdings Inc","HLT","0.106275","    82 80","0.00  (0.00%)"
"207","Twenty-First Century Fox Inc. Class B","FOX","0.105716","    50 27","0.00  (0.00%)"
"208","Paychex Inc.","PAYX","0.105492","    77 52","0.00  (0.00%)"
"209","Dollar Tree Inc.","DLTR","0.104551","    104 00","0.16  (0.15%)"
"210","Halliburton Company","HAL","0.104412","    28 01","0.12  (0.43%)"
"211","WEC Energy Group Inc","WEC","0.104323","    77 15","0.00  (0.00%)"
"212","M&T Bank Corporation","MTB","0.104271","    169 09","0.00  (0.00%)"
"213","Monster Beverage Corporation","MNST","0.104085","    60 45","-0.74  (-1.21%)"
"214","Discover Financial Services","DFS","0.103509","    70 87","0.00  (0.00%)"
"215","Fortive Corp.","FTV","0.102731","    82 18","0.00  (0.00%)"
"216","AutoZone Inc.","AZO","0.102559","    940 03","0.00  (0.00%)"
"217","PACCAR Inc","PCAR","0.101702","    68 15","0.00  (0.00%)"
"218","Archer-Daniels-Midland Company","ADM","0.101695","    42 98","0.14  (0.33%)"
"219","T. Rowe Price Group","TROW","0.101415","    99 09","0.00  (0.00%)"
"220","Cummins Inc.","CMI","0.100358","    159 00","0.96  (0.61%)"
"221","Centene Corporation","CNC","0.100213","    57 45","0.00  (0.00%)"
"222","PPL Corporation","PPL","0.099902","    32 39","0.01  (0.03%)"
"223","Digital Realty Trust Inc.","DLR","0.099605","    113 94","0.00  (0.00%)"
"224","Motorola Solutions Inc.","MSI","0.098570","    141 45","0.00  (0.00%)"
"225","DTE Energy Company","DTE","0.096659","    123 69","0.00  (0.00%)"
"226","Hewlett Packard Enterprise Co.","HPE","0.096544","    15 38","-0.40  (-2.53%)"
"227","McKesson Corporation","MCK","0.096502","    113 48","0.00  (0.00%)"
"228","Parker-Hannifin Corporation","PH","0.096479","    172 09","0.00  (0.00%)"
"229","Carnival Corporation","CCL","0.095887","    55 48","0.05  (0.09%)"
"230","IQVIA Holdings Inc","IQV","0.095642","    139 41","0.00  (0.00%)"
"231","Pioneer Natural Resources Company","PXD","0.095415","    132 40","-0.04  (-0.03%)"
"232","Willis Towers Watson Public Limited Company","WLTW","0.095374","    170 41","0.00  (0.00%)"
"233","Ventas Inc.","VTR","0.094833","    63 18","0.00  (0.00%)"
"234","Eversource Energy","ES","0.094811","    70 28","0.00  (0.00%)"
"235","Aptiv PLC","APTV","0.093628","    82 58","0.00  (0.00%)"
"236","Twitter Inc.","TWTR","0.093449","    30 85","-0.02  (-0.06%)"
"237","Anadarko Petroleum Corporation","APC","0.093174","    43 18","0.03  (0.07%)"
"238","Synchrony Financial","SYF","0.092959","    32 02","0.00  (0.00%)"
"239","Rockwell Automation Inc.","ROK","0.092722","    178 38","0.00  (0.00%)"
"240","SBA Communications Corp. Class A","SBAC","0.090872","    185 91","0.00  (0.00%)"
"241","Verisk Analytics Inc","VRSK","0.089658","    127 31","0.00  (0.00%)"
"242","Realty Income Corporation","O","0.089325","    70 75","0.02  (0.03%)"
"243","TransDigm Group Incorporated","TDG","0.089297","    432 86","0.00  (0.00%)"
"244","Global Payments Inc.","GPN","0.089296","    131 89","0.00  (0.00%)"
"245","Boston Properties Inc.","BXP","0.087739","    133 20","0.00  (0.00%)"
"246","Clorox Company","CLX","0.087417","    159 00","-0.07  (-0.04%)"
"247","Edison International","EIX","0.086813","    63 13","0.00  (0.00%)"
"248","Concho Resources Inc.","CXO","0.086755","    99 85","0.00  (0.00%)"
"249","FleetCor Technologies Inc.","FLT","0.086752","    230 83","0.00  (0.00%)"
"250","Northern Trust Corporation","NTRS","0.086430","    89 79","0.00  (0.00%)"
"251","Kraft Heinz Company","KHC","0.086225","    32 20","0.03  (0.09%)"
"252","Royal Caribbean Cruises Ltd.","RCL","0.086183","    117 00","0.12  (0.10%)"
"253","FirstEnergy Corp.","FE","0.085875","    41 36","0.00  (0.00%)"
"254","Microchip Technology Incorporated","MCHP","0.085793","    86 80","0.00  (0.00%)"
"255","Stanley Black & Decker Inc.","SWK","0.085723","    132 55","0.00  (0.00%)"
"256","Advanced Micro Devices Inc.","AMD","0.083975","    23 00","0.04  (0.17%)"
"257","Kroger Co.","KR","0.083972","    24 65","-0.02  (-0.08%)"
"258","VeriSign Inc.","VRSN","0.082482","    179 07","0.00  (0.00%)"
"259","Harris Corporation","HRS","0.082358","    163 23","0.00  (0.00%)"
"260","Ball Corporation","BLL","0.081989","    55 60","0.00  (0.00%)"
"261","United Continental Holdings Inc.","UAL","0.081453","    82 38","0.00  (0.00%)"
"262","IHS Markit Ltd.","INFO","0.081314","    53 62","0.00  (0.00%)"
"263","International Paper Company","IP","0.080744","    46 48","0.00  (0.00%)"
"264","Essex Property Trust Inc.","ESS","0.080423","    285 73","0.00  (0.00%)"
"265","Tyson Foods Inc. Class A","TSN","0.080270","    64 22","0.00  (0.00%)"
"266","Weyerhaeuser Company","WY","0.080207","    25 84","0.00  (0.00%)"
"267","American Water Works Company Inc.","AWK","0.079902","    104 03","0.00  (0.00%)"
"268","Waters Corporation","WAT","0.079329","    239 70","0.00  (0.00%)"
"269","Nucor Corporation","NUE","0.078996","    58 75","-0.22  (-0.37%)"
"270","Cerner Corporation","CERN","0.078788","    55 74","-0.52  (-0.92%)"
"271","AMETEK Inc.","AME","0.078172","    80 38","0.29  (0.36%)"
"272","DXC Technology Co.","DXC","0.077848","    65 40","-0.04  (-0.06%)"
"273","Newmont Mining Corporation","NEM","0.077226","    33 45","0.00  (0.00%)"
"274","KLA-Tencor Corporation","KLAC","0.076813","    116 93","0.00  (0.00%)"
"275","Fifth Third Bancorp","FITB","0.076809","    27 07","0.00  (0.00%)"
"276","KeyCorp","KEY","0.076151","    16 96","0.00  (0.00%)"
"277","Ameriprise Financial Inc.","AMP","0.076081","    124 36","0.00  (0.00%)"
"278","Fastenal Company","FAST","0.075870","    61 72","0.00  (0.00%)"
"279","Freeport-McMoRan Inc.","FCX","0.075697","    12 29","-0.07  (-0.57%)"
"280","IDEXX Laboratories Inc.","IDXX","0.075405","    204 72","0.00  (0.00%)"
"281","Ulta Beauty Inc","ULTA","0.075123","    310 99","1.24  (0.40%)"
"282","Ameren Corporation","AEE","0.074995","    72 57","0.48  (0.67%)"
"283","Cintas Corporation","CTAS","0.074746","    202 08","-2.24  (-1.10%)"
"284","First Republic Bank","FRC","0.074167","    102 64","0.00  (0.00%)"
"285","Mettler-Toledo International Inc.","MTD","0.073975","    688 93","0.00  (0.00%)"
"286","Hartford Financial Services Group Inc.","HIG","0.073971","    46 25","-1.95  (-4.05%)"
"287","Republic Services Inc.","RSG","0.073336","    78 48","0.00  (0.00%)"
"288","Align Technology Inc.","ALGN","0.072918","    243 78","0.42  (0.17%)"
"289","Cadence Design Systems Inc.","CDNS","0.071831","    60 30","0.34  (0.57%)"
"290","Entergy Corporation","ETR","0.071790","    93 96","0.00  (0.00%)"
"291","McCormick & Company Incorporated","MKC","0.071752","    139 08","0.00  (0.00%)"
"292","Omnicom Group Inc","OMC","0.071580","    75 51","0.00  (0.00%)"
"293","CBS Corporation Class B","CBS","0.071565","    49 13","0.05  (0.10%)"
"294","Citizens Financial Group Inc.","CFG","0.071511","    35 10","0.00  (0.00%)"
