Average of open,Column Labels,,,,,,,,,,,,,,'13,1848.36
Row Labels,2013,2014,2015,2016,2017,2018,Grand Total,2013,2014,2015,2016,2017,2018,,'14,2058.9
MON,104.3463717,115.403254,106.7511905,99.3675873,115.9968327,119.9438462,108.6891001,5.6%,6.2%,5.2%,4.9%,4.3%,4.8%,,'15,2043.94
MAR,42.47190265,63.22634722,75.80115079,69.47612659,103.1025498,141.0078846,72.82486767,2.3%,3.4%,3.7%,3.4%,3.9%,5.6%,,'16,2238.83
NOV,73.48639381,77.04142857,45.86688492,33.15261905,34.98820717,37.52576923,52.17870532,4.0%,4.2%,2.2%,1.6%,1.3%,1.5%,,'17,2673.61
A,47.07969027,54.12305556,39.59083333,43.33849206,59.33055777,71.47461538,49.18786338,2.5%,2.9%,1.9%,2.1%,2.2%,2.9%,,'18,2506.85
AAL,18.61433628,38.86194444,45.1843254,38.15436508,47.49993546,54.22115385,38.39049547,1.0%,2.1%,2.2%,1.9%,1.8%,2.2%,,,
AAP,86.5291146,130.9281548,163.675754,155.3775794,122.7576892,114.5538462,132.4396306,4.7%,7.1%,7.9%,7.6%,4.6%,4.6%,,,
AAPL,67.28800487,92.21973571,120.1692063,104.5076984,150.4825598,171.7161538,109.0554289,3.6%,5.0%,5.8%,5.1%,5.6%,6.8%,,,
ABBV,44.48630531,55.41670635,62.15628968,60.59834921,75.06235857,106.0380769,60.80280064,2.4%,3.0%,3.0%,3.0%,2.8%,4.2%,,,
ABC,58.14632743,74.65753968,104.1050794,83.22281746,86.04762948,98.54923077,82.06642971,3.1%,4.0%,5.1%,4.1%,3.2%,3.9%,,,
ABT,35.92139381,40.94964286,46.31388889,40.48790079,48.48200558,60.06503846,42.92475806,1.9%,2.2%,2.2%,2.0%,1.8%,2.4%,,,
ACN,76.14183673,81.34210317,97.43763889,112.7701111,129.0299203,158.5619231,101.0228261,4.1%,4.4%,4.7%,5.5%,4.8%,6.3%,,,
ADBE,47.75969027,67.43650794,80.87714286,97.29642857,143.8782669,192.1971154,90.38760921,2.6%,3.6%,3.9%,4.8%,5.4%,7.7%,,,
