"Name","Symbol","Average Volume","Market_Cap","Revenue","P.E.Ratio","Beta"
"3M","MMM","2.30M","115,670,000,000"," 32,770,000,000",21.85,1.05
"Abbott Labs","ABT","6.69M","134,600,000,000"," 30,580,000,000",55.28,1.13
"AbbVie","ABBV","6.95M","114,440,000,000"," 32,750,000,000",21.4,1.15
"Accenture","ACN","2.16M","107,720,000,000"," 42,150,000,000",23.84,1.1
"Activision Blizzard","ATVI","13.12M"," 32,100,000,000","  7,500,000,000",17.86,0.82
"Acuity Brands","AYI","421.51K","  5,140,000,000","  3,770,000,000",16.36,1.55
"Adobe","ADBE","3.51M","124,600,000,000","  9,030,000,000",45.65,1.11
"ADP","ADP","2.43M"," 65,330,000,000"," 13,840,000,000",35.31,0.99
"Advance Auto Parts","AAP","1.30M"," 10,880,000,000","  9,580,000,000",26.84,1.01
"Affiliated Managers","AMG","620.61K","  6,070,000,000","  2,380,000,000",24.23,1.5
"Aflac","AFL","3.70M"," 36,430,000,000"," 21,840,000,000",12.86,0.78
"Agilent Technologies","A","2.09M"," 24,760,000,000","  4,990,000,000",21.74,1.4
"AIG","AIG","6.83M"," 36,690,000,000"," 47,640,000,000",4161.74,1.39
"Air Products","APD","1.27M"," 39,830,000,000","  8,940,000,000",24.11,0.83
"Akamai","AKAM","1.49M"," 11,470,000,000","  2,710,000,000",39.21,0.55
"Alaska Air","ALK","1.72M","  6,850,000,000","  8,260,000,000",15.78,0.85
"Albemarle","ALB","1.60M","  8,770,000,000","  3,370,000,000",13.62,1.7
"Alexandria RE","ARE","738.16K"," 15,510,000,000","  1,650,000,000",39.53,0.94
"Alexion","ALXN","1.80M"," 28,760,000,000","  4,130,000,000",1675.74,1.57
"Align","ALGN","1.43M"," 18,460,000,000","  1,970,000,000",46.9,2.15
"Allegion PLC","ALLE","732.69K","  8,310,000,000","  2,730,000,000",20.37,1.19
"Allergan","AGN","3.11M"," 48,250,000,000"," 15,790,000,000",NA,1.3
"Alliance Data Systems","ADS","680.23K","  8,820,000,000","  7,790,000,000",9.8,1.78
"Alliant Energy","LNT","1.95M"," 10,920,000,000","  3,530,000,000",21.34,0.32
"Allstate","ALL","2.45M"," 32,140,000,000"," 39,830,000,000",16.09,0.82
"Alphabet A","GOOGL","1.80M","799,440,000,000","136,820,000,000",26.31,1.04
"Alphabet C","GOOG","1.59M","794,130,000,000","136,820,000,000",26.31,1.04
"Altria","MO","12.98M","103,790,000,000"," 25,360,000,000",14.64,0.4
"Amazon.com","AMZN","6.00M","796,140,000,000","232,890,000,000",81.72,1.63
"AMD","AMD","88.71M"," 22,130,000,000","  6,480,000,000",68.56,3.41
"Ameren","AEE","1.42M"," 17,540,000,000","  6,290,000,000",21.6,0.32
"American Airlines","AAL","8.31M"," 14,700,000,000"," 44,540,000,000",10.51,1.57
"American Electric Power","AEP","2.58M"," 40,420,000,000"," 16,200,000,000",21.15,0.15
