"Security","Symbol","GICS Sector","GICS Sub Industry","Headquarters Location","Date first added","CIK"
"3M Company","MMM","Industrials","Industrial Conglomerates","St. Paul, Minnesota",NA,"0000066740"
"Abbott Laboratories","ABT","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31","0000001800"
"AbbVie Inc.","ABBV","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31","0001551152"
"ABIOMED Inc","ABMD","Health Care","Health Care Equipment","Danvers, Massachusetts","2018-05-31","0000815094"
"Accenture plc","ACN","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06","0001467373"
"Activision Blizzard","ATVI","Communication Services","Interactive Home Entertainment","Santa Monica, California","2015-08-31","0000718877"
"Adobe Systems Inc","ADBE","Information Technology","Application Software","San Jose, California","1997-05-05","0000796343"
"Advanced Micro Devices Inc","AMD","Information Technology","Semiconductors","Sunnyvale, California","2017-03-20","0000002488"
"Advance Auto Parts","AAP","Consumer Discretionary","Automotive Retail","Roanoke, Virginia","2015-07-09","0001158449"
"AES Corp","AES","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02","0000874761"
"Affiliated Managers Group Inc","AMG","Financials","Asset Management & Custody Banks","Beverly, Massachusetts","2014-07-01","0001004434"
"AFLAC Inc","AFL","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28","0000004977"
"Agilent Technologies Inc","A","Health Care","Health Care Equipment","Santa Clara, California","2000-06-05","0001090872"
"Air Products & Chemicals Inc","APD","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30","0000002969"
"Akamai Technologies Inc","AKAM","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12","0001086222"
"Alaska Air Group Inc","ALK","Industrials","Airlines","Seattle, Washington","2016-05-13","0000766421"
"Albemarle Corp","ALB","Materials","Specialty Chemicals","Baton Rouge, Louisiana","2016-07-01","0000915913"
"Alexandria Real Estate Equities","ARE","Real Estate","Office REITs","Pasadena, California","2017-03-20","0001035443"
"Alexion Pharmaceuticals","ALXN","Health Care","Biotechnology","Cheshire, Connecticut","2012-05-25","0000899866"
"Align Technology","ALGN","Health Care","Health Care Supplies","San Jose, California","2017-06-19","0001097149"
"Allegion","ALLE","Industrials","Building Products","Dublin, Ireland","2013-12-02","0001579241"
"Allergan, Plc","AGN","Health Care","Pharmaceuticals","Dublin, Ireland","1999-04-12","0001578845"
"Alliance Data Systems","ADS","Information Technology","Data Processing & Outsourced Services","Plano, Texas","2013-12-23","0001101215"
"Alliant Energy Corp","LNT","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01","0000352541"
